"setup","network_size","iteration","Visualization approach","time"
"AMD Opteron 6328",100,1,"igraph",0.382000000000062
"AMD Opteron 6328",100,2,"igraph",0.37600000000009
"AMD Opteron 6328",100,3,"igraph",0.376999999999953
"AMD Opteron 6328",100,4,"igraph",0.38900000000001
"AMD Opteron 6328",100,5,"igraph",0.393000000000029
"AMD Opteron 6328",100,6,"igraph",0.370000000000005
"AMD Opteron 6328",100,7,"igraph",0.378000000000043
"AMD Opteron 6328",100,8,"igraph",0.380999999999972
"AMD Opteron 6328",100,9,"igraph",0.395999999999958
"AMD Opteron 6328",100,10,"igraph",0.394999999999982
"AMD Opteron 6328",100,11,"igraph",0.374000000000024
"AMD Opteron 6328",100,12,"igraph",0.389000000000124
"AMD Opteron 6328",100,13,"igraph",0.37700000000018
"AMD Opteron 6328",100,14,"igraph",0.381000000000085
"AMD Opteron 6328",100,15,"igraph",0.383000000000038
"AMD Opteron 6328",100,16,"igraph",0.381000000000085
"AMD Opteron 6328",100,17,"igraph",0.385999999999967
"AMD Opteron 6328",100,18,"igraph",0.381000000000085
"AMD Opteron 6328",100,19,"igraph",0.403999999999996
"AMD Opteron 6328",100,20,"igraph",0.412000000000035
"AMD Opteron 6328",100,21,"igraph",0.382999999999811
"AMD Opteron 6328",100,22,"igraph",0.394999999999982
"AMD Opteron 6328",100,23,"igraph",0.402999999999793
"AMD Opteron 6328",100,24,"igraph",0.384000000000015
"AMD Opteron 6328",100,25,"igraph",0.38799999999992
"AMD Opteron 6328",100,26,"igraph",0.364000000000033
"AMD Opteron 6328",100,27,"igraph",0.380000000000109
"AMD Opteron 6328",100,28,"igraph",0.382999999999811
"AMD Opteron 6328",100,29,"igraph",0.397999999999683
"AMD Opteron 6328",100,30,"igraph",0.38799999999992
"AMD Opteron 6328",100,31,"igraph",0.398000000000138
"AMD Opteron 6328",100,32,"igraph",0.394999999999982
"AMD Opteron 6328",100,33,"igraph",0.371000000000095
"AMD Opteron 6328",100,34,"igraph",0.394999999999982
"AMD Opteron 6328",100,35,"igraph",0.402999999999793
"AMD Opteron 6328",100,36,"igraph",0.417000000000371
"AMD Opteron 6328",100,37,"igraph",0.375999999999749
"AMD Opteron 6328",100,38,"igraph",0.398000000000138
"AMD Opteron 6328",100,39,"igraph",0.395999999999731
"AMD Opteron 6328",100,40,"igraph",0.389999999999873
"AMD Opteron 6328",100,41,"igraph",0.386999999999716
"AMD Opteron 6328",100,42,"igraph",0.38799999999992
"AMD Opteron 6328",100,43,"igraph",0.380000000000109
"AMD Opteron 6328",100,44,"igraph",0.403000000000247
"AMD Opteron 6328",100,45,"igraph",0.399999999999636
"AMD Opteron 6328",100,46,"igraph",0.38799999999992
"AMD Opteron 6328",100,47,"igraph",0.394999999999527
"AMD Opteron 6328",100,48,"igraph",0.384000000000015
"AMD Opteron 6328",100,49,"igraph",0.390000000000327
"AMD Opteron 6328",100,50,"igraph",0.393999999999323
"AMD Opteron 6328",100,51,"igraph",0.403000000000247
"AMD Opteron 6328",100,52,"igraph",0.375
"AMD Opteron 6328",100,53,"igraph",0.394000000000233
"AMD Opteron 6328",100,54,"igraph",0.394000000000233
"AMD Opteron 6328",100,55,"igraph",0.394000000000233
"AMD Opteron 6328",100,56,"igraph",0.399000000000342
"AMD Opteron 6328",100,57,"igraph",0.378999999999905
"AMD Opteron 6328",100,58,"igraph",0.382000000000517
"AMD Opteron 6328",100,59,"igraph",0.375
"AMD Opteron 6328",100,60,"igraph",0.389999999999418
"AMD Opteron 6328",100,61,"igraph",0.386999999999716
"AMD Opteron 6328",100,62,"igraph",0.395999999999731
"AMD Opteron 6328",100,63,"igraph",0.396999999999935
"AMD Opteron 6328",100,64,"igraph",0.382999999999811
"AMD Opteron 6328",100,65,"igraph",0.390999999999622
"AMD Opteron 6328",100,66,"igraph",0.386999999999716
"AMD Opteron 6328",100,67,"igraph",0.404999999999745
"AMD Opteron 6328",100,68,"igraph",0.378000000000611
"AMD Opteron 6328",100,69,"igraph",0.385000000000218
"AMD Opteron 6328",100,70,"igraph",0.384000000000015
"AMD Opteron 6328",100,71,"igraph",0.405000000000655
"AMD Opteron 6328",100,72,"igraph",0.398000000000138
"AMD Opteron 6328",100,73,"igraph",0.391999999999825
"AMD Opteron 6328",100,74,"igraph",0.400000000000546
"AMD Opteron 6328",100,75,"igraph",0.385000000000218
"AMD Opteron 6328",100,76,"igraph",0.370999999999185
"AMD Opteron 6328",100,77,"igraph",0.410000000000764
"AMD Opteron 6328",100,78,"igraph",0.407000000000153
"AMD Opteron 6328",100,79,"igraph",0.385000000000218
"AMD Opteron 6328",100,80,"igraph",0.38799999999992
"AMD Opteron 6328",100,81,"igraph",0.384999999999309
"AMD Opteron 6328",100,82,"igraph",0.399000000000342
"AMD Opteron 6328",100,83,"igraph",0.398000000000138
"AMD Opteron 6328",100,84,"igraph",0.390000000000327
"AMD Opteron 6328",100,85,"igraph",0.393000000000029
"AMD Opteron 6328",100,86,"igraph",0.402000000000044
"AMD Opteron 6328",100,87,"igraph",0.416000000000167
"AMD Opteron 6328",100,88,"igraph",0.396999999999935
"AMD Opteron 6328",100,89,"igraph",0.391000000000531
"AMD Opteron 6328",100,90,"igraph",0.394000000000233
"AMD Opteron 6328",100,91,"igraph",0.412999999998647
